"Bulk Upload PDFs

Select up to 50 PDF files downloaded from Jotform's Submissions > Download as PDFs feature.

Files must use Jotform's default naming pattern (the submission ID at the start of each filename) so we can match them to submission records. Submissions that already have a PDF will be skipped.","Subir PDF en bloque

Seleccione hasta 50 archivos PDF descargados con la función Submissions > Download as PDFs de Jotform.

Los archivos deben conservar el nombre que Jotform les da (el ID del envío al inicio de cada nombre) para poder asociarlos a los registros de envío. Los envíos que ya tengan un PDF se omitirán.","Forms, Submissions, the question before the bulk upload"
Bulk resolve failed: {0},La resolución en bloque falló: {0},"Forms, Sync Diagnostic, a toast"
Bulk upload complete.,Subida en bloque terminada.,"Forms, Submissions, the toast after the bulk upload"
Bulk upload failed: {0},La subida en bloque falló: {0},"Forms, Submissions, a toast"
Bulk-resolve all {0} unresolved failure(s) for this form,Resolver en bloque los {0} fallos sin resolver de este formulario,"Forms, Sync Diagnostic, the name of the Resolve all button"
By,Por,"Sites, the printed timeline, who did it; Staff Management, the printed timeline"
By person,Por persona,"Settings, Roles and Permissions"
By site,Por sitio,"Reports, the issue report's printed page"
By {0},Por {0},"Vendors, a vendor, who wrote an evaluation"
By: {0},Por: {0},"Assigned Tasks, who created a task"
CLAIMED,TOMADO,Schedule
CSV,CSV,"Inspections, a completed inspection"
CSV exported,CSV exportado,"Sites, Timeline; Staff Management, the Timeline tab"
Callout,Ausencia,Shift Pickup
Callout Patterns,Patrones de ausencias,Shift Pickup
Callouts,Ausencias,Shift Pickup
Cancel,Cancelar,"Schedule, a pattern; Schedule; Shift Pickup; Issue Tracker, giving an issue to a person; Assigned Tasks, reassigning a task; Assigned Tasks, creating a task; Sites; HR Records; Reports, adding or editing a report; Staff Management, the Profile tab; Settings, Dropdown Options; Settings, Site Lookups; Settings, Who gets told; Forms, editing a form; Forms, Settings, the full refresh window; Forms, linking a submission to a record"
Cancel Inspection,Cancelar la inspección,"Schedule; Inspections, editing a scheduled inspection"
Cancel ending this pattern,Cancelar el fin de este patrón,"Schedule, a pattern"
Cancel removing {0},Cancelar y no quitar a {0},"Settings, Who gets told, for a screen reader"
Cancel this date,Cancelar esta fecha,Schedule
Cancel this inspection?,¿Cancelar esta inspección?,"Schedule, an inspection's window; Inspections, an inspection"
Cancel this open shift? It will no longer be available for pickup.,¿Cancelar este turno abierto? Ya nadie podrá tomarlo.,"Shift Pickup, canceling an open shift"
Cancel this shift? The pattern will not add it again.,¿Cancelar este turno? El patrón no lo volverá a agregar.,"Schedule, canceling a date of a pattern's shift"
Cancelled,Cancelado,"Schedule; Schedule, Time off; Shift Pickup, a shift's status"
Cancelled by the person who asked,Cancelada por quien la solicitó,"Schedule, a time off request"
Capability,Permiso,"Settings, Roles and Permissions, the role reference; Settings, the role reference, printed"
Case,Caso,"Cases, a case's window, its title"
Case updated,Caso actualizado,"Cases, a case's window, once it is saved"
Cases,Casos,"The shell; Cases, the list"
Categories ({0}),Categorías ({0}),"Settings, Dropdown Options"
Category,Categoría,"HR Records; Inventory, editing a supply; Inspections, Reports; Inspections, the printed reports; Sites, the printed timeline; Reports, adding or editing a report; Reports, the supply report's printed page; Staff Management, the printed timeline; Forms, Form Library, a column; Forms, editing a form"
Category *,Categoría *,"Inventory, adding a supply"
Category Breakdown,Desglose por categoría,"Inspections, Reports, the printed report"
Category activated,Categoría activada,"Settings, Dropdown Options"
Category created,Categoría creada,"Settings, Dropdown Options"
Category deactivated,Categoría desactivada,"Settings, Dropdown Options"
Category deleted,Categoría eliminada,"Settings, Dropdown Options"
Category is required,La categoría es obligatoria,"HR Records, adding a document"
Category updated,Categoría actualizada,"HR Records, a folder; Settings, Dropdown Options"
Central Time (Chicago),Hora del Centro (Chicago),"Settings, the Company tab, a time zone"
Certification Name *,Nombre de la certificación *,"Staff Management, Add Certification"
Certification Status,Estado de certificación,"Vendors, adding or editing a vendor"
Certification added,Certificación agregada,"Staff Management, Add Certification, once it is added"
Certifications,Certificaciones,"Vendors, a vendor; Staff Management, a person's profile; Staff Management, the Certifications tab"
Certifications ({0}),Certificaciones ({0}),"Staff Management, the printed profile report"
Certifications staff must hold...,Certificaciones que el personal debe tener...,"Service Catalog, adding or editing a service"
Change,Cambiar,"Schedule, a pattern"
"Change admin accounts (role, status, PIN)","Cambiar cuentas de administrador (rol, estado, PIN)","Settings, Roles and Permissions, a capability's name"
Changes start on,Los cambios comienzan el,"Schedule, a pattern"
"Changing the type will reclassify this value. For example, changing from ""Building"" to ""Zone"" moves it between categories.","Si cambia el tipo, este valor pasa a otra categoría. Por ejemplo, al cambiarlo de ""Edificio"" a ""Zona"" pasa de una categoría a la otra.","Settings, Site Lookups"
Channel: {0},Canal: {0},"Sites, the printed chat history"
Chat,Chat,"Sites, a site's profile"
Chemical,Químico,"Reports, a supply category; Reports, the supply report's filter and printed page"
Chemical Usage,Uso de químicos,"Reports, Quick snapshots, a CSV export"
Choose a person,Elija a una persona,"Cases, a case's window, Hand to"
"Choose who hears about each kind of report. People get an email and a notice in the app. Outside addresses get email only. When nobody is set, every admin gets a notice in the app.","Elija quién recibe avisos de cada tipo de informe. Las personas reciben un correo y un aviso en la aplicación. Las direcciones externas reciben solo el correo. Si no hay nadie, cada administrador recibe un aviso en la aplicación.","Settings, Who gets told"
City,Ciudad,"Sites, adding or editing a site; Vendors, adding or editing a vendor; Staff Management, the Profile tab"
Claimed,Tomado,"Schedule; Shift Pickup; Shift Pickup, a shift's status"
Claimed By,Tomado por,Schedule; Shift Pickup
Claimed Pickup Shift,Turno disponible tomado,Schedule
Claims,Turnos tomados,Shift Pickup
Clear,Borrar,"Sites, Timeline, the dates; Staff Management, the Timeline tab"
Clear selection,Quitar la selección,"HR Records, logging training for several people, who attended"
"Click ""Add Supply"" to start.","Haga clic en ""Agregar suministro"" para empezar.","Inventory, an empty list"
"Click ""Create Task"" to assign one.","Haga clic en ""Crear tarea"" para asignar una.","Assigned Tasks, when the list is empty"
Click Cancel to abort.,Presione Cancelar para no continuar.,"Forms, Sync Diagnostic, the question before a form's failures are resolved"
Click Refresh Diagnostic to load.,Presione Actualizar el diagnóstico para cargar.,"Forms, Sync Diagnostic"
Click photo to open full size,Haga clic en la foto para verla en tamaño completo,"Inspections, an inspection, a line item's photo"
Client,Cliente,"Sites, General Info; Sites, adding a site"
Client Contact,Contacto del cliente,"Sites, General Info; Sites, editing a site"
Client Forms,Formularios del cliente,"HR Records, a record's category"
Client Name,Nombre del cliente,"Sites, editing a site"
Clock,Asistencia,"Sites, Timeline; Staff Management, Timeline, a kind of entry"
Clock in and out,Registro de entrada y salida,"Settings, Roles and Permissions, the role reference"
Close,Cerrar,"Schedule, a pattern; Schedule; Shift Pickup; Schedule, a time off request; Issue Tracker, the issue window; Assigned Tasks, the task window; Cases, a case's window; Forms, a filed report; Forms, a submission's window"
"Closed, no response",Cerrado sin respuesta,"Cases, the response clock"
Collapse sidebar,Contraer el panel lateral,The shell
Color,Color,"Settings, Dropdown Options"
Color (optional),Color (opcional),"Settings, Dropdown Options"
Coming soon,Próximamente,"Reports, the library, a report whose source is not live yet"
Communication,Comunicación,"Settings, Roles and Permissions, the role reference"
Company,Empresa,"Settings, the tabs"
Company Identity,Identidad de la empresa,"Settings, the Company tab"
Company settings and branding,Configuración y marca de la empresa,"Settings, Roles and Permissions, the role reference; Settings, Roles and Permissions, a capability's name"
Company settings saved,Configuración de la empresa guardada,"Settings, the Company tab"
Completed,Completado,"Schedule; Shift Pickup; HR Records, Training"
Completed At,Fecha de finalización,"Inspections, a completed inspection"
Completed By,Completada por,"Inspections, an inspection; Inspections, an inspection's printed report"
Completed Date,Fecha de finalización,"HR Records, adding a training record; HR Records, logging training for several people"
Completed {0},Completado el {0},"HR Records, Onboarding, a finished step, which agrees with paso; Staff Management, the HR Files tab"
Completed: {0},Completada: {0},"Staff Management, the HR Files tab, a training record"
Compliance,Cumplimiento,"HR Records, a tab"
"Compliance percent, higher is better","Porcentaje de cumplimiento, más es mejor","Reports, the issue report, a chart"
Confidential Communication Record,Registro confidencial de comunicaciones,"Sites, the printed chat history, its footer"
Confidential Employee Record,Registro confidencial de la persona,"Staff Management, the printed timeline and profile report, the footer"
Confidential Record,Registro confidencial,"Staff Management, a record's printed page, the footer, which is the company's own confidential label"
Confidential Site Record,Registro confidencial del sitio,"Sites, a record's printed page, its footer"
Config load failed: {0},No se pudo cargar la configuración: {0},"Forms, a toast"
Confirm Convert,Confirmar la conversión,Schedule
Confirm ending this pattern,Confirmar el fin de este patrón,"Schedule, a pattern"
Confirm on the next screen.,Confirme en la siguiente pantalla.,"The add to home screen sheet, Android"
Connected to Live API,Conectado a la API en vivo,The shell
Contact,Contacto,"Vendors, the list; Vendors, a vendor"
Contact Email,Correo del contacto,"Vendors, adding or editing a vendor"
Contact Information,Datos de contacto,"Staff Management, the Profile tab"
Contact Name,Nombre del contacto,"Sites, editing a site; Vendors, adding or editing a vendor"
Contact Phone,Teléfono del contacto,"Vendors, adding or editing a vendor"
Contract,Contrato,"Sites, the list; Sites, editing a site"
Contract Dates,Fechas del contrato,"Sites, General Info"
Contract Details,Detalles del contrato,"Sites, General Info"
Contract Terms,Condiciones del contrato,"Vendors, a vendor; Vendors, adding or editing a vendor"
Contract Type,Tipo de contrato,"Sites, General Info; Sites, adding or editing a site"
Contractor,Contratista,"Live Operations, a person's role; Sites, General Info, a person's role; HR Records, a person's role; Staff Management, the list"
Conversation,Conversación,"Messages, a conversation whose person has no name"
Convert,Convertir,Shift Pickup
Convert Callout,Convertir la ausencia,Shift Pickup
Convert Scheduled Shift to Open Pickup,Convertir un turno programado en turno abierto,Shift Pickup
Convert to Open Pickup,Convertir en turno abierto,Schedule
Copied,Copiado,"The add to home screen sheet, after the address is copied"
Copy,Copiar,"The add to home screen sheet, beside the address"
Copy the address below and paste it there.,Copie la dirección de abajo y péguela allí.,"The add to home screen sheet, inside another app's browser"
Cost by site,Costo por sitio,"Reports, adding or editing a supply report; Reports, the supply report's printed page"
Cost is estimated using each supply current cost per unit. Supplies without a price contribute zero cost.,El costo se estima con el costo actual por unidad de cada suministro. Los suministros sin precio no suman costo.,"Reports, the supply report's printed page"
Cost is estimated using its current cost per unit. Supplies without a price contribute zero cost.,El costo se estima con su costo actual por unidad. Los suministros sin precio no suman costo.,"Reports, the supply report"
Cost trend,Tendencia del costo,"Reports, adding or editing a supply report"
Cost/Unit,Costo por unidad,"Inventory, adding or editing a supply"
Could not fetch live content: {0},No se pudo obtener el contenido en vivo: {0},"Forms, a submission's window"
Could not load folder.,No se pudo cargar la carpeta.,"HR Records, a folder"
Could not load permissions: {0},No se pudieron cargar los permisos: {0},"Settings, Roles and Permissions, by person"
Could not load report: {0},No se pudo cargar el informe: {0},"Reports, a report being run"
Could not load reports: {0},No se pudieron cargar los informes: {0},"Reports, the library"
Could not load team: {0},No se pudo cargar el equipo: {0},"Settings, Roles and Permissions, by person"
Could not save: {0},No se pudo guardar: {0},"Settings, Roles and Permissions, by person"
Coverage by Site,Cobertura por sitio,Shift Pickup
Create,Crear,"Sites, adding a site or a task"
Create Assigned Task,Crear una tarea asignada,"Assigned Tasks, creating a task"
Create Category,Crear categoría,"Settings, Dropdown Options"
Create Task,Crear tarea,Assigned Tasks
Create Template,Crear la plantilla,"Inspections, adding a template"
Create and Assign,Crear y asignar,"Assigned Tasks, creating a task"
Create report,Crear el informe,"Reports, adding a report"
"Create, edit and delete scheduled shifts","Crear, editar y eliminar turnos programados","Settings, Roles and Permissions, a capability's name"
Created,Fecha de creación,"Assigned Tasks, the task window"
Created By,Creada por,"Assigned Tasks, the task window, who created the tarea"
Currently assigned to: {0}. They will be notified of the change.,Asignada ahora a: {0}. Recibirá un aviso del cambio.,"Assigned Tasks, reassigning a task, the name in bold"
Currently open,Abiertas en este momento,"Reports, the issue report, a chart, which agrees with incidencias"
Currently: Allowed (admins always allowed),Ahora: Permitido (los administradores siempre lo tienen),"Settings, Roles and Permissions, by person"
Currently: Allowed (override),Ahora: Permitido (cambio para esta persona),"Settings, Roles and Permissions, by person"
